ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates
MX-0041;small_airport;Turismo Lago Guerrero Airport;489;NA;MX;MX-TAM;Huachinera;;;TLG;"-98.705417; 24.044689"
MX-0042;small_airport;Agricola Las Isabeles Airport;4227;NA;MX;MX-CHH;Villa Ahumada;;;AIB;"-106.7503; 30.2732"
MX-0043;small_airport;Capitan Birotes Airport;52;NA;MX;MX-SIN;Navolato;;;CEB;"-107.6696; 24.8317"
MX-0044;small_airport;AerÃ³dromo Cabo Cortes;90;NA;MX;MX-BCS;Los Cabos;;;ACC;"-109.4829; 23.5109"
MX-0045;small_airport;Club Aereo Del Yaqui Airport;87;NA;MX;MX-SON;Cajeme;;;ADY;"-110.02; 27.447"
MX-0046;small_airport;Santa Ana Maloapan Airport;350;NA;MX;MX-VER;Martinez De La Torre;;;SAV;"-97.0872; 20.0623"
MX-0047;small_airport;Rancho Santa Rosa Airstrip;7060;NA;MX;MX-GUA;San Diego De La Union;;;GAA;"-100.937; 21.4441"
MX-0048;small_airport;Aerofumigaciones Nayarit Airstrip;39;NA;MX;MX-BCN;Mexicali;;;AST;"-115.274; 32.3143"
MX-0049;closed;Potrero de Los Medina Airstrip;3770;NA;MX;MX-SIN;Badiraguato;;;POM;"-107.3613; 25.5335"
MX-0050;small_airport;Los Aztecas Airport;110;NA;MX;MX-TAM;Ciudad Mante;;;AZT;"-98.6325; 22.5141"
MX-0051;small_airport;Hacienda Guadalupe Airport;3850;NA;MX;MX-COA;Melchor Muzquiz;;;HGU;"-102.3968; 29.0259"
MX-0052;small_airport;Campeche Airport;79;NA;MX;MX-BCN;Mexicali;;;CXE;"-114.9898; 32.5318"
MX-0053;small_airport;Santa Fe Airport;750;NA;MX;MX-SON;Caborca;;;SFC;"-112.2875; 30.6644"
MX-0054;small_airport;La Escuadra Airport;560;NA;MX;MX-TAM;Padilla;;;LEQ;"-99.0108; 24.068"
MX-0055;small_airport;Puertecitos Airport;33;NA;MX;MX-BCN;Ensenada;;;PRC;"-114.6394; 30.3537"
MX-0056;small_airport;Pista Nuevo Leon Baja II;48;NA;MX;MX-BCN;Mexicali;;;NVO;"-115.171; 32.4159"
MX-0057;closed;BahÃ­a Soledad Airstrip;80;NA;MX;MX-BCN;Ensenada;;;BSO;"-116.6502; 31.584"
MX-0058;small_airport;La Pichihuila Airstrip;4610;NA;MX;MX-CHH;Morelos;;;LPH;"-107.8008; 26.3591"
MX-0059;small_airport;Zarupa Airstrip;5542;NA;MX;MX-CHH;Morelos;;;ZRA;"-107.7969; 26.4642"
